Title,Company,Location,Contract,Skills,Link,Salaries
Full Stack Software Engineer - Remotely,KaGoal,"Cairo, Egypt ",Full timePart timeWork from home,Full timePart timeWork from homeExperienced · 2 - 3 Yrs of Exp · Software Development · Node.js · Information Technology (IT) · javaScript · Full Stack · HTML · React · Software · Software Engineering · SQL,https://wuzzuf.net/jobs/p/84ztSGiVTjFX-Full-Stack-Software-Engineer---Remotely-KaGoal-Cairo-Egypt?o=74&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Odoo Developer,Docuserv,"Cairo, Egypt ",Full time,Full timeExperienced · 2 - 4 Yrs of Exp · Odoo · Python · Odoo Modules · PostgreSQL · XML · API · Information Technology (IT) · Computer Science · GIT · javaScript,https://wuzzuf.net/jobs/p/EIWrF3QeUhX8-Senior-Odoo-Developer-Docuserv-Cairo-Egypt?o=75&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Google Cloud Data Architect,Technidrome,"Cairo, Egypt ",Full time,Full timeExperienced · 5 - 15 Yrs of Exp · Information Technology (IT) · Computer Science · Google Cloud · Cloud · Computer Engineering · Engineering · Google · Data Engineering · English · Hadoop,https://wuzzuf.net/jobs/p/vEkRhS11vwO1-Google-Cloud-Data-Architect-Technidrome-Cairo-Egypt?o=76&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Full Stack Developer (PHP Laravel & Vue.js),Starzly,"Cairo, Egypt ",Full time,Full timeExperienced · 3 - 5 Yrs of Exp · full stack · Software Development · Laravel · React · MongoDB · Information Technology (IT) · Computer Science · MySQL · Git · Software,https://wuzzuf.net/jobs/p/6glm4eLIkoNB-Senior-Full-Stack-Developer-PHP-Laravel-Vuejs-Starzly-Cairo-Egypt?o=77&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Back-End Developer,Blnk Consumer Finance,"Giza, Egypt ",Full time,Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Python · Django · Telecom Engineering · Back-End Developer · Development · IT/Software Development,https://wuzzuf.net/jobs/p/0yaLi84JmpwC-Back-End-Developer-Blnk-Consumer-Finance-Giza-Egypt?o=78&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Devops Engineer,Kashier Payment Solutions,"Zamalek, Cairo, Egypt ",Full time,Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · DevOps · Software Development · Python · Agile · AWS · Automation · Docker · IT/Software Development,https://wuzzuf.net/jobs/p/aFagFru3hNRu-Devops-Engineer-Kashier-Payment-Solutions-Cairo-Egypt?o=79&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Django Developer,Pillars,"Cairo, Egypt ",Full time,Full timeManager · 5 - 12 Yrs of Exp · Django · Information Technology (IT) · Computer Science · Agile · Python · Development · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/FFWwJUpRGJlD-Senior-Django-Developer-Pillars-Cairo-Egypt?o=80&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Data Scientist,B.Tech,"Nasr City, Cairo, Egypt ",Full time,Full timeEntry Level · 1 - 3 Yrs of Exp · Python · Information Technology (IT) · Computer Science · Data Science · Statistics · SQL · MySQL · Data · Science · Mathematics,https://wuzzuf.net/jobs/p/AWyomu98Kn2y-Data-Scientist-B-Tech-Cairo-Egypt?o=81&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Odoo Technical Consultant,OdooTec,"New Cairo, Cairo, Egypt ",Full time,Full timeEntry Level · 1+ Yrs of Exp · odoo · python · Technical Consultant · IT · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/aQsR60XGXBgZ-Odoo-Technical-Consultant-OdooTec-Cairo-Egypt?o=82&l=sp&t=sj&a=python|search-v3|hpb,not fetched
Senior Full Stack Developer (PHP Laravel & Vue.js),CrossWorkers,"New Cairo, Cairo, Egypt ",Full time,Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Software Development · Laravel · VueJs · AJAX · MySQL · javaScript · PHP Laravel · PHP · Computer Science,https://wuzzuf.net/jobs/p/JocU1ukWYcvQ-Senior-Full-Stack-Developer-PHP-Laravel-Vuejs-CrossWorkers-Cairo-Egypt?o=83&l=sp&t=sj&a=python|search-v3|hpb,not fetched
